county,date,total_doses
Tehama,3/2/2021,70
Trinity,3/2/2021,6
Tulare,3/2/2021,2260
Tuolumne,3/2/2021,700
Ventura,3/2/2021,7166
Yolo,3/2/2021,1338
Yuba,3/2/2021,145
Alameda,3/1/2021,12510
Alpine,3/1/2021,33
Amador,3/1/2021,183
Butte,3/1/2021,1131
Calaveras,3/1/2021,184
Colusa,3/1/2021,43
Contra Costa,3/1/2021,7389
Del Norte,3/1/2021,26
El Dorado,3/1/2021,1006
Fresno,3/1/2021,4459
Glenn,3/1/2021,27
Humboldt,3/1/2021,233
Imperial,3/1/2021,510
Inyo,3/1/2021,23
Kern,3/1/2021,3576
Kings,3/1/2021,241
Lake,3/1/2021,570
Lassen,3/1/2021,36
Los Angeles,3/1/2021,51894
Madera,3/1/2021,355
Marin,3/1/2021,2246
Mariposa,3/1/2021,56
Mendocino,3/1/2021,562
Merced,3/1/2021,1112
Modoc,3/1/2021,4
Monterey,3/1/2021,1225
Napa,3/1/2021,1029
Nevada,3/1/2021,768
Orange,3/1/2021,17406
Placer,3/1/2021,2805
Plumas,3/1/2021,10
Riverside,3/1/2021,13108
Sacramento,3/1/2021,7098
San Benito,3/1/2021,214
San Bernardino,3/1/2021,7190
San Diego,3/1/2021,22956
San Francisco,3/1/2021,9555
San Joaquin,3/1/2021,3924
San Luis Obispo,3/1/2021,2868
San Mateo,3/1/2021,5264
Santa Barbara,3/1/2021,1486
Santa Clara,3/1/2021,12982
Santa Cruz,3/1/2021,1773
Shasta,3/1/2021,549
Sierra,3/1/2021,2
Siskiyou,3/1/2021,270
Solano,3/1/2021,1423
Sonoma,3/1/2021,3390
Stanislaus,3/1/2021,2917
Sutter,3/1/2021,232
Tehama,3/1/2021,61
Trinity,3/1/2021,7
Tulare,3/1/2021,1527
Tuolumne,3/1/2021,101
Ventura,3/1/2021,6718
Yolo,3/1/2021,983
Yuba,3/1/2021,148
Alameda,2/28/2021,8905
Amador,2/28/2021,94
Butte,2/28/2021,114
Calaveras,2/28/2021,87
Colusa,2/28/2021,24
Contra Costa,2/28/2021,3640
Del Norte,2/28/2021,6
El Dorado,2/28/2021,506
Fresno,2/28/2021,1490
Glenn,2/28/2021,5
Humboldt,2/28/2021,106
Imperial,2/28/2021,83
Inyo,2/28/2021,2
Kern,2/28/2021,843
Kings,2/28/2021,993
Lake,2/28/2021,17
Lassen,2/28/2021,5
Los Angeles,2/28/2021,25383
Madera,2/28/2021,179
Marin,2/28/2021,1316
Mariposa,2/28/2021,2
Mendocino,2/28/2021,35
Merced,2/28/2021,278
Mono,2/28/2021,1
Monterey,2/28/2021,1464
Napa,2/28/2021,541
Nevada,2/28/2021,233
Orange,2/28/2021,18309
Placer,2/28/2021,1348
Riverside,2/28/2021,4407
Sacramento,2/28/2021,5035
San Benito,2/28/2021,191
San Bernardino,2/28/2021,1611
San Diego,2/28/2021,13524
San Francisco,2/28/2021,7441
San Joaquin,2/28/2021,2908
San Luis Obispo,2/28/2021,175
San Mateo,2/28/2021,3976
Santa Barbara,2/28/2021,998
Santa Clara,2/28/2021,4556
Santa Cruz,2/28/2021,1273
Shasta,2/28/2021,167
Siskiyou,2/28/2021,3
Solano,2/28/2021,1274
Sonoma,2/28/2021,2144
Stanislaus,2/28/2021,731
Sutter,2/28/2021,75
Tehama,2/28/2021,22
Trinity,2/28/2021,1
Tulare,2/28/2021,1221
Tuolumne,2/28/2021,44
Ventura,2/28/2021,2474
Yolo,2/28/2021,1634
Yuba,2/28/2021,61
Alameda,2/27/2021,14406
Amador,2/27/2021,284
Butte,2/27/2021,227
Calaveras,2/27/2021,203
Colusa,2/27/2021,54
Contra Costa,2/27/2021,6375
Del Norte,2/27/2021,152
El Dorado,2/27/2021,1562
Fresno,2/27/2021,6052
Glenn,2/27/2021,14
Humboldt,2/27/2021,877
Imperial,2/27/2021,931
Inyo,2/27/2021,13
Kern,2/27/2021,3528
Kings,2/27/2021,1232
Lake,2/27/2021,57
Lassen,2/27/2021,8
Los Angeles,2/27/2021,57366
Madera,2/27/2021,844
Marin,2/27/2021,2543
Mariposa,2/27/2021,153
Mendocino,2/27/2021,187
