,county,date,total_doses
740,Kings,2021-03-03,526
741,Lake,2021-03-03,324
742,Lassen,2021-03-03,156
743,Los Angeles,2021-03-03,75890
744,Madera,2021-03-03,1144
745,Marin,2021-03-03,3872
746,Mariposa,2021-03-03,7
747,Mendocino,2021-03-03,1542
748,Merced,2021-03-03,2010
749,Modoc,2021-03-03,10
750,Mono,2021-03-03,82
751,Monterey,2021-03-03,2686
752,Napa,2021-03-03,1210
753,Nevada,2021-03-03,879
754,Orange,2021-03-03,18170
755,Outside California,2021-03-03,8842
756,Placer,2021-03-03,2793
757,Plumas,2021-03-03,138
758,Riverside,2021-03-03,15625
759,Sacramento,2021-03-03,9027
760,San Benito,2021-03-03,354
761,San Bernardino,2021-03-03,11652
762,San Diego,2021-03-03,32270
763,San Francisco,2021-03-03,9975
764,San Joaquin,2021-03-03,5165
765,San Luis Obispo,2021-03-03,2059
766,San Mateo,2021-03-03,7449
767,Santa Barbara,2021-03-03,4406
768,Santa Clara,2021-03-03,16052
769,Santa Cruz,2021-03-03,2155
770,Shasta,2021-03-03,531
771,Sierra,2021-03-03,2
772,Siskiyou,2021-03-03,328
773,Solano,2021-03-03,1653
774,Sonoma,2021-03-03,4065
775,Stanislaus,2021-03-03,3408
776,Sutter,2021-03-03,1329
777,Tehama,2021-03-03,82
778,Trinity,2021-03-03,5
779,Tulare,2021-03-03,3186
780,Tuolumne,2021-03-03,77
781,Unknown,2021-03-03,23
782,Ventura,2021-03-03,8043
783,Yolo,2021-03-03,1681
784,Yuba,2021-03-03,594
785,Alameda,2021-03-02,12723
786,Alpine,2021-03-02,1
787,Amador,2021-03-02,370
788,Butte,2021-03-02,1362
789,Calaveras,2021-03-02,232
790,Carson City,2021-03-02,1
791,Colusa,2021-03-02,45
792,Contra Costa,2021-03-02,8793
793,Del Norte,2021-03-02,210
794,El Dorado,2021-03-02,804
795,Fresno,2021-03-02,7427
796,Glenn,2021-03-02,31
797,Hawaii,2021-03-02,1
798,Humboldt,2021-03-02,232
799,Imperial,2021-03-02,674
800,Inyo,2021-03-02,176
801,Kern,2021-03-02,3752
802,Kings,2021-03-02,425
803,Lake,2021-03-02,710
804,Lassen,2021-03-02,100
805,Los Angeles,2021-03-02,66355
806,Madera,2021-03-02,591
807,Marin,2021-03-02,2267
808,Mariposa,2021-03-02,6
809,Mendocino,2021-03-02,62
810,Merced,2021-03-02,1544
811,Modoc,2021-03-02,187
812,Mono,2021-03-02,6
813,Monterey,2021-03-02,2547
814,Napa,2021-03-02,1274
815,Nevada,2021-03-02,648
816,Orange,2021-03-02,13403
817,Outside California,2021-03-02,7158
818,Placer,2021-03-02,2703
819,Plumas,2021-03-02,8
820,Riverside,2021-03-02,13465
821,Sacramento,2021-03-02,8053
822,San Benito,2021-03-02,237
823,San Bernardino,2021-03-02,12717
824,San Diego,2021-03-02,24959
825,San Francisco,2021-03-02,8225
826,San Joaquin,2021-03-02,3807
